"Table 2.3.5. Personal Consumption Expenditures by Major Type of Product"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: February 28, 2017 - Next Release Date March 30, 2017"
"Line"," ","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"11","        Gasoline and other energy goods",3.4,3.3,2.8,2.6,2.6,2.9,3.0,3.3,3.5,3.4,3.6,3.8,4.3,3.9,3.3,3.4,4.0,5.8,6.9,8.2,8.3,8.9,9.6,10.2,10.8,11.3,12.4,13.3,14.2,14.7,15.3,15.8,15.7,16.3,16.9,17.7,19.1,20.7,21.9,23.2,25.0,26.3,27.6,29.4,34.3,43.8,48.0,53.0,57.8,61.5,80.4,101.9,113.4,108.4,106.5,108.2,110.5,91.2,96.4,99.9,110.4,124.2,121.1,125.0,126.9,129.2,133.4,144.7,147.7,132.4,146.5,184.5,178.0,167.9,196.4,232.7,283.8,319.7,345.5,389.1,284.5,333.4,409.6,416.9,412.2,398.9,303.7,271.6
"12","        Other nondurable goods",5.3,4.6,4.4,3.6,3.4,3.8,4.0,4.4,4.8,4.8,5.1,5.4,6.2,7.2,8.4,9.3,10.5,10.9,12.4,13.6,14.1,15.2,16.9,17.8,18.8,18.8,19.9,21.1,22.6,23.6,25.5,27.1,28.6,30.7,32.5,34.5,37.1,40.8,43.0,46.5,49.5,53.6,55.9,60.0,65.8,72.1,77.7,85.2,91.5,103.3,116.5,129.3,143.5,154.0,168.8,184.6,196.9,209.4,225.9,241.4,263.3,283.6,297.1,314.5,331.4,350.6,371.4,395.2,421.3,451.8,498.0,534.4,563.9,591.4,622.7,657.6,690.4,739.6,770.4,791.9,814.2,849.2,893.5,927.3,959.5,1014.6,1073.0,1122.6
"13","Services",33.6,32.0,29.0,24.6,22.2,23.0,24.3,26.2,28.5,28.3,29.3,30.7,33.6,38.0,43.6,48.1,52.4,58.1,62.6,67.6,70.4,75.4,83.7,90.7,98.2,104.2,111.3,119.4,127.1,134.5,144.9,154.6,163.2,174.1,184.3,198.9,213.9,231.0,248.4,272.8,299.8,328.9,358.9,395.6,434.5,480.5,541.4,603.9,676.3,762.6,851.6,954.8,1068.1,1174.6,1312.7,1434.5,1585.1,1702.8,1835.8,2009.6,2169.0,2334.3,2462.7,2652.4,2828.7,2994.5,3168.6,3350.4,3554.0,3794.3,4020.3,4339.5,4577.9,4785.5,5044.0,5359.8,5713.8,6068.2,6388.9,6637.9,6648.5,6839.4,7092.8,7311.5,7526.7,7892.9,8271.6,8655.5
"14","    Household consumption expenditures (for services)",32.3,30.7,27.8,23.6,21.3,22.1,23.4,25.3,27.5,27.3,28.3,29.6,32.5,36.7,42.1,46.5,50.6,56.1,60.4,65.3,68.1,72.9,81.1,87.8,95.2,100.9,107.9,115.6,123.1,130.1,140.0,149.5,157.9,168.7,178.6,192.5,206.9,223.5,240.4,264.0,290.4,318.4,347.2,382.8,420.8,465.0,524.4,584.9,655.7,739.6,825.4,924.8,1034.0,1136.7,1272.0,1389.1,1537.2,1650.2,1780.1,1946.3,2101.0,2258.5,2382.6,2564.5,2738.6,2896.7,3066.3,3240.4,3448.4,3670.5,3882.0,4181.5,4398.8,4587.1,4838.5,5153.4,5503.6,5829.0,6140.2,6355.8,6372.5,6564.0,6817.8,7018.7,7221.8,7579.3,7943.7,8302.9
"15","        Housing and utilities",12.9,12.5,11.8,10.5,9.4,9.1,9.2,9.6,10.2,10.6,10.9,11.3,12.1,13.0,13.5,14.2,14.7,16.3,18.3,20.5,22.6,25.1,28.1,31.2,34.5,37.4,40.0,42.9,45.9,49.2,52.8,56.7,60.3,64.5,68.2,72.1,76.6,81.2,86.3,92.7,101.0,109.4,120.0,131.2,143.5,158.6,176.5,194.7,217.8,244.3,273.4,312.5,352.1,387.5,421.2,457.5,500.6,537.0,571.6,614.4,655.2,696.5,735.2,771.1,814.9,863.3,913.7,962.4,1009.8,1065.5,1123.1,1198.6,1287.5,1333.6,1394.1,1469.1,1583.6,1682.4,1758.2,1839.1,1881.0,1909.0,1959.9,1995.4,2054.2,2142.8,2233.2,2326.2
"16","        Health care",2.3,2.2,2.0,1.7,1.5,1.6,1.7,1.9,2.0,2.0,2.1,2.2,2.3,2.6,2.8,3.2,3.4,4.3,5.0,5.8,6.0,6.4,6.9,7.6,8.4,9.3,9.9,10.9,12.0,13.4,14.8,16.0,17.1,19.1,21.0,24.2,26.0,28.7,31.9,36.6,42.1,47.7,53.7,59.8,67.2,76.1,89.0,101.8,115.7,131.2,148.8,171.7,201.9,225.2,253.1,276.5,302.2,330.2,366.0,410.1,451.2,506.2,555.8,612.8,648.8,680.5,719.9,752.1,790.9,832.0,863.6,918.4,996.6,1082.9,1154.6,1240.1,1322.3,1394.2,1481.8,1556.5,1627.4,1690.7,1764.7,1835.9,1870.9,1952.8,2069.0,2189.5
"17","        Transportation services",2.4,2.1,1.8,1.4,1.3,1.5,1.5,1.7,1.8,1.7,1.8,1.9,2.2,2.6,3.2,3.5,3.8,4.7,4.9,5.2,5.3,5.4,6.0,6.3,6.8,6.8,7.1,7.6,8.0,8.1,8.7,9.2,9.6,10.1,10.6,11.4,12.1,13.1,14.3,15.9,18.0,20.0,22.4,24.5,26.1,28.5,32.0,36.2,41.4,45.2,50.7,55.4,59.8,61.7,68.9,80.0,90.1,95.0,103.1,114.2,121.8,126.4,123.7,133.6,146.1,161.9,177.9,195.0,214.3,227.6,244.1,263.5,264.7,258.2,265.5,276.6,289.4,302.1,312.2,311.7,289.7,292.9,308.1,319.5,334.5,354.1,368.4,377.5
"18","        Recreation services",1.6,1.5,1.4,1.1,1.0,1.1,1.2,1.3,1.5,1.4,1.5,1.6,1.7,2.0,2.3,2.6,2.8,3.5,3.6,3.6,3.6,3.6,3.8,4.0,4.2,4.5,4.8,5.2,5.2,5.4,5.9,6.5,6.9,7.5,7.9,8.5,9.0,9.8,10.5,11.7,12.9,14.0,15.1,16.3,18.3,20.9,23.7,26.5,29.6,32.9,36.7,40.8,47.1,52.5,59.4,66.1,74.0,80.4,87.3,99.2,110.7,121.8,127.2,139.8,153.4,164.7,181.1,195.6,208.3,220.2,238.1,254.4,262.3,271.4,289.2,312.1,328.9,351.9,375.8,384.5,376.0,385.1,400.6,419.8,434.2,451.6,466.3,482.8
"19","        Food services and accommodations",3.4,3.3,3.0,2.4,2.1,2.6,3.0,3.4,4.0,3.9,4.1,4.4,5.3,6.9,9.1,10.9,12.7,12.7,12.5,12.6,12.4,12.7,15.0,16.0,16.5,16.6,17.0,17.7,18.5,18.7,19.7,20.5,21.0,22.3,23.3,24.9,27.2,29.6,31.0,34.6,37.5,41.6,43.8,48.9,54.8,60.6,68.8,77.8,85.7,97.1,110.9,121.7,133.9,142.5,153.6,164.9,174.3,186.7,204.4,225.8,242.6,262.7,273.4,286.3,298.4,308.3,316.1,326.6,343.4,361.8,380.3,408.8,419.7,436.3,461.9,496.4,530.6,566.3,595.6,612.5,600.3,617.7,649.5,685.1,710.8,753.7,808.8,851.9
"20","        Financial services and insurance",2.9,2.6,2.2,1.9,1.9,1.8,2.1,2.2,2.4,2.3,2.3,2.4,2.5,2.6,2.8,3.0,3.2,3.8,4.2,4.7,4.9,5.6,6.3,6.7,7.8,8.6,9.6,10.4,11.1,11.6,12.5,13.6,14.8,15.4,15.9,17.7,19.4,21.3,22.8,25.8,28.5,31.1,34.1,38.3,41.5,45.9,54.0,59.3,67.8,80.6,87.6,95.6,102.0,116.3,145.9,156.6,188.1,199.8,205.3,219.8,238.4,247.4,266.8,295.1,332.6,346.9,366.4,392.3,429.2,467.3,509.1,566.3,552.8,562.6,588.5,635.3,689.6,724.2,768.5,771.5,719.0,763.2,795.8,789.3,830.7,885.7,921.1,956.9
"21","        Other services",6.9,6.5,5.6,4.5,4.0,4.4,4.6,5.1,5.7,5.4,5.6,5.8,6.3,7.1,8.2,9.1,10.0,10.8,12.0,12.9,13.3,14.1,15.1,16.0,17.1,17.8,19.4,20.9,22.4,23.8,25.5,27.1,28.3,29.9,31.6,33.8,36.6,39.9,43.6,46.8,50.5,54.6,58.1,63.7,69.3,74.4,80.3,88.6,97.7,108.3,117.2,127.1,137.2,150.9,169.9,187.5,207.9,221.2,242.4,262.8,281.1,297.5,300.5,325.7,344.4,371.2,391.2,416.4,452.3,496.0,523.7,571.5,615.3,642.2,684.7,723.8,759.1,807.9,848.0,880.1,879.2,905.4,939.3,973.8,986.4,1038.7,1076.9,1118.1
"22","    Final consumption expenditures of nonprofit institutions serving households (NPISHs) 1",1.3,1.3,1.2,1.0,0.9,0.9,0.9,0.9,1.0,1.0,1.0,1.1,1.1,1.3,1.5,1.7,1.7,2.0,2.1,2.3,2.3,2.4,2.6,2.9,3.0,3.2,3.4,3.8,4.0,4.3,4.9,5.1,5.2,5.5,5.8,6.4,7.0,7.5,8.0,8.8,9.4,10.5,11.7,12.8,13.8,15.5,17.0,19.0,20.6,23.0,26.1,30.0,34.1,38.0,40.8,45.4,47.9,52.6,55.7,63.3,68.0,75.9,80.1,87.9,90.1,97.8,102.3,110.0,105.6,123.8,138.2,158.0,179.1,198.3,205.5,206.4,210.3,239.2,248.8,282.1,276.0,275.4,275.0,292.9,304.9,313.6,327.9,352.7
"23","        Gross output of nonprofit institutions 2","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",13.9,14.8,15.8,16.9,18.3,20.3,22.1,24.3,27.0,30.3,34.0,38.1,42.8,47.4,51.8,58.8,67.2,76.3,85.2,96.7,109.4,126.1,145.7,163.8,179.2,194.4,209.3,227.3,246.9,275.5,301.2,334.4,362.9,396.4,418.7,440.1,458.5,483.1,502.6,542.5,576.3,621.6,676.4,737.1,774.6,819.0,868.5,932.2,983.1,1040.9,1072.6,1105.9,1139.6,1193.0,1229.7,1277.1,1335.7,1412.3
"24","        Less: Receipts from sales of goods and services by nonprofit institutions 3","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",9.0,9.8,10.5,11.5,12.6,13.8,15.1,16.9,18.9,21.6,24.6,27.6,31.1,34.5,38.1,43.3,50.2,57.3,64.5,73.6,83.2,96.1,111.5,125.8,138.5,149.0,161.4,174.7,191.2,212.2,233.2,258.6,282.8,308.5,328.7,342.3,356.2,373.1,397.0,418.7,438.1,463.6,497.4,538.7,569.1,612.6,658.2,693.0,734.4,758.8,796.5,830.5,864.6,900.1,924.8,963.5,1007.8,1059.7
" ","Addenda:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25","    PCE excluding food and energy 4",56.6,50.8,44.7,35.9,32.7,35.7,38.4,42.5,46.0,44.4,47.1,50.1,57.0,61.8,70.6,77.5,85.9,101.5,112.5,122.3,126.8,138.6,149.1,156.7,168.3,173.0,188.7,198.0,208.8,214.4,232.9,244.8,253.6,272.7,289.8,313.6,339.1,367.8,390.7,432.4,470.1,502.7,549.5,607.1,670.0,721.5,799.5,897.2,1001.3,1126.4,1243.8,1357.0,1505.1,1625.6,1822.1,2014.0,2220.2,2403.4,2582.4,2810.0,3018.1,3211.5,3331.1,3579.8,3815.6,4062.5,4288.8,4536.5,4811.7,5158.2,5519.1,5929.7,6211.5,6495.5,6809.2,7226.6,7652.3,8083.4,8457.4,8628.1,8577.4,8858.5,9231.8,9577.4,9871.7,10341.0,10854.0,11340.3
"26","    Energy goods and services 5",4.6,4.5,4.1,3.8,3.8,4.1,4.2,4.6,4.9,4.8,5.0,5.3,5.9,5.6,5.0,5.2,5.9,7.9,9.3,10.9,11.3,12.2,13.4,14.3,15.4,16.4,17.9,19.4,20.8,21.8,23.0,24.2,24.6,25.8,26.8,28.1,30.1,32.2,34.1,36.2,39.0,41.5,44.3,47.8,54.4,67.5,76.7,85.6,95.6,103.7,127.4,158.4,177.1,181.2,187.3,193.1,199.5,178.6,185.4,194.1,209.3,223.0,226.1,231.4,241.9,246.4,251.7,269.7,274.2,257.4,272.4,322.1,327.6,313.5,356.8,400.8,473.6,520.4,555.7,612.7,499.6,554.8,628.4,624.4,631.9,631.0,529.0,495.8
"27","    Market-based PCE 6","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",2783.2,3012.2,3237.6,3453.8,3572.1,3794.0,4004.3,4233.7,4449.8,4697.7,4951.7,5234.6,5595.0,6003.3,6276.6,6518.6,6853.2,7282.0,7747.8,8181.2,8576.7,8815.4,8705.5,9013.0,9463.7,9804.6,10070.9,10502.4,10863.1,11264.1
"28","    Market-based PCE excluding food and energy 6","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",2274.3,2476.1,2663.6,2840.3,2943.7,3158.7,3349.5,3555.7,3754.9,3966.6,4203.1,4490.1,4807.4,5140.9,5385.3,5630.3,5897.1,6248.9,6606.4,6961.0,7284.0,7430.3,7436.3,7669.7,8006.6,8331.8,8581.9,8980.6,9433.9,9852.0
"Legend / Footnotes:"
"1. Net expenses of NPISHs, defined as their gross operating expenses less primary sales to households."
"2. Gross output is net of unrelated sales, secondary sales, and sales to business, to government, and to the rest of the world; excludes own-account investment (construction and software)."
"3. Excludes unrelated sales, secondary sales, and sales to business, to government, and to the rest of the world; includes membership dues and fees."
"4. Food consists of food and beverages purchased for off-premises consumption; food services, which include purchased meals and beverages, are not classified as food."
"5. Consists of gasoline and other energy goods and of electricity and gas services."
"6. Market-based PCE is a supplemental measure that is based on household expenditures for which there are observable price measures.It excludes most imputed transactions (for example, financial services furnished without payment) and the final consumption expenditures of nonprofit institutions serving households."
