"Table 2.4.5. Personal Consumption Expenditures by Type of Product"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: August 03, 2016"
"Line"," ","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"11","            Glassware, tableware, and household utensils (34)",0.6,0.5,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.6,0.7,0.8,1.3,1.4,1.5,1.4,1.5,1.6,1.6,1.6,1.7,1.8,1.8,1.8,1.7,1.8,1.8,1.8,1.9,2.0,2.2,2.4,2.8,3.0,3.3,3.5,3.6,3.7,4.1,4.7,5.2,5.7,6.5,7.3,8.6,9.5,10.6,11.8,12.8,13.4,14.1,14.4,15.1,15.1,16.3,17.5,18.4,18.5,20.1,21.1,22.8,23.7,24.8,25.7,28.3,31.9,35.3,37.1,40.0,41.3,43.1,44.6,45.5,44.8,43.7,41.1,42.7,45.1,47.2,49.2,51.0,53.3
"12","            Tools and equipment for house and garden (35)",0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.5,0.5,0.6,0.7,0.6,0.6,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.9,0.9,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,2.2,2.5,2.8,3.2,3.7,4.2,4.9,5.3,5.7,6.0,6.5,7.0,7.3,7.7,8.1,8.7,9.2,9.7,9.9,10.7,11.5,12.5,13.0,13.6,14.5,15.4,16.4,17.1,17.6,18.1,18.8,20.2,21.0,21.3,20.1,19.3,17.5,17.6,18.5,19.2,20.1,21.1,22.0
"13","        Recreational goods and vehicles",1.5,1.4,0.9,0.5,0.4,0.5,0.6,0.7,0.8,0.8,0.9,1.0,1.2,1.2,1.0,1.0,1.2,2.5,3.0,3.1,3.2,4.1,4.1,4.3,4.7,4.9,5.3,5.7,5.8,5.9,6.4,6.4,6.6,6.9,7.6,8.8,10.1,12.3,13.6,15.3,16.7,17.9,19.2,22.6,25.3,26.6,30.4,34.2,37.7,41.7,45.8,46.5,49.9,51.3,58.7,67.8,74.1,83.0,91.8,99.9,103.9,105.6,107.7,111.0,123.5,140.3,153.7,164.9,174.6,191.4,210.9,230.9,234.9,244.8,259.2,284.1,305.0,324.1,335.8,329.3,303.8,312.7,321.0,336.6,348.1,358.8,376.6
"14","            Video, audio, photographic, and information processing equipment and media (75, 76, and part of 93)",1.0,0.9,0.5,0.3,0.2,0.2,0.3,0.4,0.4,0.4,0.4,0.5,0.6,0.7,0.4,0.4,0.4,1.2,1.5,1.6,1.7,2.5,2.3,2.4,2.7,2.8,3.0,3.1,3.0,3.0,3.3,3.2,3.4,3.5,3.9,4.6,5.4,6.5,7.3,7.9,8.3,8.8,9.2,10.6,12.1,13.0,14.3,15.9,17.0,18.6,20.7,21.9,23.5,24.5,30.2,34.2,38.5,44.8,49.5,54.2,55.8,56.1,58.1,59.7,66.7,76.7,84.7,91.1,96.2,106.3,117.2,127.7,128.6,134.1,141.5,157.9,172.7,185.8,195.6,194.8,184.9,194.1,198.0,205.9,209.6,214.2,221.5
"15","            Sporting equipment, supplies, guns, and ammunition (part of 80)",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.5,0.5,0.6,0.5,0.6,0.7,0.7,0.7,0.8,0.9,1.0,1.0,1.1,1.2,1.3,1.4,1.4,1.4,1.5,1.7,2.2,2.4,2.7,2.9,2.9,3.0,3.6,3.8,4.3,5.1,6.2,6.8,7.6,8.1,8.9,9.5,9.5,10.0,11.4,12.2,13.1,15.4,17.1,18.8,19.9,20.5,21.7,23.6,25.9,27.2,28.5,29.5,32.1,35.3,39.1,41.3,43.1,45.1,48.0,50.9,54.3,55.2,55.1,50.9,51.3,54.1,58.4,61.9,63.7,67.3
"16","            Sports and recreational vehicles (79)",0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.8,0.8,0.8,0.7,0.8,0.9,1.2,1.4,1.7,1.9,2.6,3.3,3.5,4.2,5.5,6.4,6.2,7.5,8.6,10.0,10.8,11.7,9.8,10.4,10.3,10.7,13.8,14.6,15.7,16.4,17.0,17.3,16.6,16.0,15.9,18.0,20.4,22.5,24.1,26.0,28.7,31.8,34.9,35.4,36.5,41.0,45.9,49.1,51.4,52.4,47.1,37.0,35.6,37.0,40.3,44.3,47.1,51.7
"17","            Recreational books (part of 90)",0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.9,0.9,1.0,1.1,1.2,1.2,1.4,1.4,1.5,1.7,2.2,2.2,2.2,2.3,2.4,2.6,2.6,3.0,3.6,4.2,4.7,5.3,5.9,6.5,7.1,7.3,7.8,8.8,9.6,10.1,10.9,11.0,11.5,12.8,14.6,16.4,18.1,19.7,20.9,22.7,24.4,24.7,25.9,26.5,26.9,27.0,27.2,27.1,27.2,26.4,27.1,27.1,27.2,27.4,28.5,30.5
"18","            Musical instruments (part of 80)",0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.9,0.9,1.0,1.0,1.1,1.1,1.2,1.1,1.2,1.4,1.5,1.6,1.7,1.9,1.9,2.1,2.2,2.2,2.4,2.7,2.9,3.1,3.2,3.5,3.9,4.7,4.9,5.2,5.1,5.3,5.3,5.5,5.4,5.1,4.6,4.6,4.7,4.9,5.0,5.2,5.7
"19","        Other durable goods",1.2,1.1,0.8,0.6,0.5,0.6,0.6,0.7,0.8,0.8,0.9,1.0,1.2,1.5,1.9,2.1,2.4,2.8,2.8,2.9,2.8,2.9,3.2,3.4,3.5,3.6,3.7,4.0,4.0,4.1,4.2,4.3,4.3,4.7,4.9,5.5,6.0,6.9,7.1,8.0,8.7,9.4,10.1,11.0,12.9,14.5,16.5,19.1,21.1,23.5,25.1,27.6,29.6,29.9,33.7,38.3,41.6,47.5,52.5,57.8,61.3,65.5,64.9,68.0,72.0,76.5,79.6,84.3,87.3,94.2,102.7,110.4,108.4,113.4,121.7,132.1,141.0,153.5,164.8,164.6,158.2,165.6,180.2,188.1,195.9,201.2,208.7
"20","            Jewelry and watches (part of 119)",0.6,0.5,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.6,0.7,0.9,1.0,1.2,1.4,1.4,1.4,1.3,1.3,1.4,1.5,1.6,1.7,1.8,1.8,1.8,1.9,2.0,1.9,1.9,2.0,2.2,2.4,2.7,3.2,3.5,3.8,4.0,4.1,4.4,4.8,6.0,7.0,8.1,9.8,11.0,12.3,13.0,15.0,16.0,15.6,17.4,19.8,21.1,24.3,26.2,28.3,29.2,30.3,30.2,31.6,33.9,36.0,37.8,39.9,39.9,42.6,46.5,49.1,47.6,49.1,51.9,56.6,59.8,64.2,67.2,65.3,60.3,62.6,69.4,72.4,75.3,77.0,77.2
"21","            Therapeutic appliances and equipment (42)",0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.9,0.9,1.1,1.0,1.2,1.3,1.4,1.3,1.5,1.7,1.9,1.9,2.2,2.4,2.7,3.0,3.3,3.5,3.9,4.5,5.1,5.7,6.2,7.1,8.4,9.6,11.0,12.6,14.8,15.9,18.4,17.5,18.1,18.9,20.4,21.0,23.0,25.3,27.8,29.7,32.2,31.8,34.0,36.5,39.7,43.2,46.9,51.6,52.5,52.7,55.6,58.9,60.8,62.8,64.9,67.5
"22","            Educational books (96)",0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.8,0.7,0.8,0.8,0.9,1.0,1.1,1.3,1.5,1.7,2.0,2.2,2.5,2.9,3.2,3.6,4.2,4.6,4.9,5.3,5.4,5.6,6.1,6.5,6.8,7.0,7.3,7.9,8.6,9.0,9.2,9.7,9.9,9.9,9.8,9.7,9.4,9.5,9.2,9.4,9.4,9.4,9.5,9.9,10.6
"23","            Luggage and similar personal items (part of 119)",0.4,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.9,1.0,1.0,1.0,1.0,1.1,1.1,1.1,1.1,1.2,1.2,1.3,1.3,1.5,1.6,1.8,1.9,2.2,2.4,2.6,2.9,3.2,3.6,4.0,4.4,5.0,5.4,5.7,5.6,5.2,4.9,4.7,5.4,6.0,6.5,7.2,8.1,8.7,9.7,9.7,10.0,10.6,10.9,10.9,10.9,11.1,11.1,11.7,13.1,14.6,13.9,14.3,15.8,17.3,19.1,21.5,23.5,24.0,23.3,25.2,28.9,31.0,32.9,32.7,35.1
"24","            Telephone and facsimile equipment (67)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.7,1.0,1.2,1.2,1.2,1.2,1.3,1.3,1.4,1.6,1.8,1.9,2.0,2.3,2.7,3.0,3.4,3.7,4.2,4.8,5.5,5.8,6.2,7.5,8.6,9.2,11.2,13.1,13.4,12.7,12.7,13.7,14.5,15.4,16.6,18.3
"25","    Nondurable goods",33.9,30.5,25.8,20.2,20.0,23.9,26.1,29.2,31.0,29.9,30.8,32.3,37.2,43.4,48.9,52.8,58.5,69.1,77.6,83.0,81.5,84.4,93.0,97.5,100.2,102.1,106.7,112.0,117.6,122.0,127.7,131.4,134.6,139.5,143.9,152.7,163.3,177.9,185.0,199.8,214.2,228.8,239.7,257.4,286.1,321.4,349.2,377.7,408.4,450.2,511.6,573.4,625.4,646.3,678.8,721.5,757.2,774.2,814.3,862.3,929.5,994.2,1020.3,1055.2,1090.8,1139.4,1179.8,1241.4,1291.2,1329.4,1431.2,1540.3,1583.7,1613.2,1704.0,1820.4,1953.1,2079.7,2176.9,2273.4,2175.1,2292.1,2471.1,2547.2,2592.8,2675.7,2656.9
"26","        Food and beverages purchased for off-premises consumption",16.3,14.8,11.9,9.0,9.5,11.7,13.3,15.1,16.0,15.1,15.2,15.9,18.2,21.6,24.3,26.0,28.2,34.9,40.2,41.8,40.4,41.4,46.0,48.4,49.3,50.6,52.0,54.2,57.1,59.8,61.6,62.6,63.7,64.7,65.9,69.5,74.4,80.6,82.6,88.8,95.4,103.5,107.1,114.5,126.7,143.0,156.6,167.3,179.8,196.1,218.4,239.2,255.3,267.1,277.0,291.1,303.0,316.4,324.3,342.8,365.4,391.2,403.0,404.5,413.5,432.1,443.7,461.9,474.8,487.4,515.5,540.6,564.0,575.1,599.6,632.6,668.2,700.3,737.3,772.9,770.0,788.9,829.1,848.8,857.5,891.4,900.7
"27","            Food and nonalcoholic beverages purchased for off-premises consumption (4)",14.5,13.3,10.6,8.0,8.3,9.1,10.0,11.3,12.0,11.5,11.5,12.1,13.8,16.3,18.0,19.1,20.8,26.6,31.5,33.9,33.1,34.2,38.6,40.7,41.7,43.2,44.7,46.7,49.7,52.3,54.0,54.9,56.1,56.7,57.7,61.0,65.7,71.3,73.0,78.2,83.6,90.4,92.6,98.7,109.6,124.2,136.2,145.6,156.5,171.1,190.3,208.0,221.7,231.3,239.2,252.7,262.3,273.8,281.8,299.0,319.5,341.2,351.5,354.6,362.4,378.3,388.3,402.8,412.8,422.1,444.9,463.1,482.2,490.4,513.6,543.0,575.3,601.6,634.7,667.7,663.4,675.9,711.7,726.3,733.7,762.9,766.8
"28","            Alcoholic beverages purchased for off-premises consumption (5)","---","---","---","---",0.2,1.5,2.0,2.5,2.6,2.4,2.4,2.6,3.0,3.6,4.0,4.7,5.1,5.7,5.9,5.2,5.0,5.1,5.1,5.5,5.6,5.6,5.7,5.9,5.9,6.0,6.4,6.5,6.6,7.0,7.3,7.6,7.9,8.5,8.9,9.9,11.0,12.3,13.8,14.9,16.0,17.7,19.2,20.5,22.1,23.8,26.8,30.0,32.4,34.7,36.8,37.4,39.7,41.7,41.8,43.1,45.3,49.3,50.9,49.3,50.5,53.3,55.0,58.7,61.6,65.0,70.2,77.1,81.5,84.4,85.7,89.3,92.6,98.2,102.2,104.7,106.1,112.6,117.0,122.1,123.3,127.9,133.3
"29","            Food produced and consumed on farms (6)",1.7,1.6,1.3,1.0,1.0,1.1,1.3,1.4,1.4,1.2,1.2,1.2,1.4,1.8,2.3,2.2,2.4,2.7,2.8,2.7,2.2,2.1,2.3,2.2,2.0,1.8,1.7,1.6,1.5,1.5,1.3,1.1,1.1,1.0,0.9,0.8,0.8,0.8,0.7,0.7,0.7,0.8,0.7,0.9,1.1,1.2,1.1,1.2,1.2,1.2,1.3,1.2,1.2,1.1,1.0,1.0,0.9,0.9,0.7,0.7,0.7,0.6,0.6,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.6
"30","        Clothing and footwear",9.0,7.8,6.7,4.9,4.5,5.5,5.8,6.3,6.6,6.5,6.9,7.2,8.5,10.6,12.9,14.1,15.9,17.5,18.0,19.3,18.6,18.9,20.5,21.2,21.3,21.4,22.4,23.4,23.6,23.9,25.4,25.9,26.6,27.9,28.6,31.1,32.7,35.8,37.5,41.3,44.3,45.5,49.0,53.5,59.2,62.4,66.9,72.2,79.3,89.3,96.4,103.0,113.2,116.7,126.4,137.6,146.8,157.2,167.7,178.2,190.4,195.2,199.1,211.2,219.1,227.4,231.2,239.5,247.5,257.8,271.1,280.8,277.9,278.8,285.3,297.5,310.7,320.2,323.7,319.5,306.5,320.6,338.9,354.3,363.6,370.8,379.5
"31","            Garments",7.1,6.1,5.3,3.7,3.5,4.3,4.6,5.0,5.1,5.1,5.5,5.7,6.6,7.9,9.6,10.7,12.0,13.8,14.3,15.4,14.7,14.8,16.1,17.0,17.2,17.3,18.0,18.8,18.9,19.0,20.2,20.6,21.2,22.2,22.9,25.0,26.4,28.8,30.2,33.1,35.5,36.6,39.6,43.2,47.8,50.8,54.9,59.2,65.1,73.1,78.2,83.3,91.4,94.9,103.3,113.1,121.0,129.5,138.2,146.9,156.2,160.0,164.0,174.4,180.9,187.3,190.1,196.4,203.2,211.1,221.9,230.0,227.2,228.0,232.7,242.3,251.4,257.0,258.7,254.7,244.3,255.3,269.9,281.5,287.9,293.4,300.2
"32","                Women's and girls' clothing (10)","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",12.5,12.7,13.1,13.8,14.3,15.6,16.3,17.7,18.3,20.1,21.3,21.9,24.0,25.8,28.3,29.9,32.2,34.5,37.5,42.5,45.5,48.5,53.3,55.3,60.7,67.0,72.2,77.9,83.1,87.6,92.7,94.5,96.5,103.2,106.4,108.4,108.9,111.4,113.9,119.0,126.5,132.7,132.1,133.3,136.8,143.7,149.6,153.7,155.8,152.1,145.8,152.8,161.6,169.2,172.6,175.8,180.2
"33","                Men's and boys' clothing (11)","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",7.4,7.6,7.8,8.1,8.2,9.0,9.6,10.6,11.4,12.4,13.4,13.7,14.7,16.3,18.2,19.3,20.9,22.5,25.1,27.6,29.2,30.9,33.5,34.5,37.1,40.2,42.5,44.9,48.0,51.7,55.6,57.4,59.4,63.0,66.1,70.1,72.2,75.8,80.0,82.2,84.6,85.9,83.2,82.4,82.8,84.5,86.3,86.7,85.3,84.7,81.5,84.9,89.7,93.4,96.3,98.4,100.5
"34","                Children's and infants' clothing (12)","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.8,1.0,0.9,1.1,1.3,1.7,1.9,2.2,2.5,3.0,3.4,3.9,4.6,5.1,5.5,6.0,6.3,6.7,7.0,7.6,8.0,8.1,8.1,8.2,8.4,8.8,9.0,9.1,9.4,10.0,10.8,11.4,11.9,12.3,13.1,14.1,15.4,16.7,17.6,17.9,17.1,17.7,18.5,18.9,19.0,19.2,19.5
"35","            Other clothing materials and footwear (13 and 17)",1.9,1.6,1.4,1.2,1.0,1.2,1.2,1.3,1.5,1.5,1.4,1.5,1.9,2.7,3.3,3.4,3.8,3.7,3.7,3.9,3.9,4.2,4.4,4.2,4.1,4.1,4.4,4.6,4.6,4.9,5.2,5.3,5.4,5.7,5.7,6.0,6.3,7.0,7.4,8.1,8.9,8.8,9.4,10.3,11.4,11.6,12.0,13.0,14.2,16.2,18.1,19.7,21.8,21.8,23.1,24.5,25.9,27.7,29.6,31.3,34.2,35.3,35.1,36.8,38.2,40.2,41.2,43.2,44.3,46.7,49.2,50.8,50.7,50.8,52.6,55.2,59.3,63.2,65.0,64.8,62.1,65.2,69.1,72.7,75.7,77.4,79.3
"36","        Gasoline and other energy goods",3.4,3.3,2.8,2.6,2.6,2.9,3.0,3.3,3.5,3.4,3.6,3.8,4.3,3.9,3.3,3.4,4.0,5.8,6.9,8.2,8.3,8.9,9.6,10.2,10.8,11.3,12.4,13.3,14.2,14.7,15.3,15.8,15.7,16.3,16.9,17.7,19.1,20.7,21.9,23.2,25.0,26.3,27.6,29.4,34.3,43.8,48.0,53.0,57.8,61.5,80.4,101.9,113.4,108.4,106.5,108.2,110.5,91.2,96.4,99.9,110.4,124.2,121.1,125.0,126.9,129.2,133.4,144.7,147.7,132.4,146.5,184.5,178.0,167.9,196.4,232.7,283.8,319.7,345.5,389.1,284.5,333.4,409.6,416.9,412.2,398.9,303.7
